student_number,ansession,program,term,semester,state,count
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20123,Pure,5,Fall,Fall-Pure-5,5
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20123,200B0,6,Fall,Graduated,6
02053D2FC790B62CBBF8A5903C05378F35A548E16703232C9C6540668757B0F1,20143,Pure,1,Fall,Fall-Pure-1,1
02053D2FC790B62CBBF8A5903C05378F35A548E16703232C9C6540668757B0F1,20151,Pure,2,Winter,Winter-Pure-2,2
02053D2FC790B62CBBF8A5903C05378F35A548E16703232C9C6540668757B0F1,20153,Pure,3,Fall,Fall-Pure-3,3
02053D2FC790B62CBBF8A5903C05378F35A548E16703232C9C6540668757B0F1,20161,Pure,4,Winter,Winter-Pure-4,4
02053D2FC790B62CBBF8A5903C05378F35A548E16703232C9C6540668757B0F1,20163,Pure,5,Fall,Fall-Pure-5,5
0216B3C051D0E2EE6EE14CDACF1D94632D1384F39B0166432C12B9B8044CEC55,20123,Pure,1,Fall,Fall-Pure-1,1
0216B3C051D0E2EE6EE14CDACF1D94632D1384F39B0166432C12B9B8044CEC55,20131,Pure,2,Winter,Winter-Pure-2,2
0216B3C051D0E2EE6EE14CDACF1D94632D1384F39B0166432C12B9B8044CEC55,20133,Pure,3,Fall,Fall-Pure-3,3
0216B3C051D0E2EE6EE14CDACF1D94632D1384F39B0166432C12B9B8044CEC55,20141,Pure,4,Winter,Winter-Pure-4,4
0216B3C051D0E2EE6EE14CDACF1D94632D1384F39B0166432C12B9B8044CEC55,20141,200B0,5,Winter,Graduated,5
0228CE0430B267A51257EE634688C433F3560B6A04835B29F8F3DB1DB14F3289,20153,Health,1,Fall,Fall-Health-1,1
0228CE0430B267A51257EE634688C433F3560B6A04835B29F8F3DB1DB14F3289,20161,Health,2,Winter,Winter-Health-2,2
0228CE0430B267A51257EE634688C433F3560B6A04835B29F8F3DB1DB14F3289,20163,Health,3,Fall,Fall-Health-3,3
023518F0C9BE29E23F355F8E8D4C6A3043D67A8D38206E8BAC7E8AF9AA364DB2,20123,Pure,1,Fall,Fall-Pure-1,1
023518F0C9BE29E23F355F8E8D4C6A3043D67A8D38206E8BAC7E8AF9AA364DB2,20131,Pure,2,Winter,Winter-Pure-2,2
023518F0C9BE29E23F355F8E8D4C6A3043D67A8D38206E8BAC7E8AF9AA364DB2,20133,Pure,3,Fall,Fall-Pure-3,3
023518F0C9BE29E23F355F8E8D4C6A3043D67A8D38206E8BAC7E8AF9AA364DB2,20141,Pure,4,Winter,Winter-Pure-4,4
023518F0C9BE29E23F355F8E8D4C6A3043D67A8D38206E8BAC7E8AF9AA364DB2,20141,200B0,5,Winter,Graduated,5
0237ACAE3D53A47D049702E96D4250CE213BF200C089EA5D54C405D6D9E0617C,20133,Health,1,Fall,Fall-Health-1,1
0237ACAE3D53A47D049702E96D4250CE213BF200C089EA5D54C405D6D9E0617C,20141,Health,2,Winter,Winter-Health-2,2
0237ACAE3D53A47D049702E96D4250CE213BF200C089EA5D54C405D6D9E0617C,20143,Health,3,Fall,Fall-Health-3,3
0237ACAE3D53A47D049702E96D4250CE213BF200C089EA5D54C405D6D9E0617C,20151,Health,4,Winter,Winter-Health-4,4
0237ACAE3D53A47D049702E96D4250CE213BF200C089EA5D54C405D6D9E0617C,20151,200B0,5,Winter,Graduated,5
02495CCC18758D1C6DF1D4BBDE74940A99C0E5E4C277609F5913FEF1D4B80317,20133,Pure,1,Fall,Fall-Pure-1,1
